Enrollment Number,Year,Stream,pass/fail,midsem1.TOC,midsem1.DBMS,midsem1.OS,midsem1.Software Engineering,midsem1.Neural Networks and Deep Learning,midsem1.ESP,midsem1.SDP,midsem2.TOC,midsem2.DBMS,midsem2.OS,midsem2.Software Engineering,midsem2.Neural Networks and Deep Learning,midsem2.ESP,midsem2.SDP,midsem1lab.DBMS,midsem1lab.OS,midsem1lab.Software Engineering,midsem2lab.DBMS,midsem2lab.OS,midsem2lab.Software Engineering,internal_marks.TOC,internal_marks.DBMS,internal_marks.OS,internal_marks.Software Engineering,internal_marks.Neural Networks and Deep Learning,internal_marks.ESP,internal_marks.SDP,lab_final.DBMS,lab_final.OS,lab_final.Software Engineering,final_theory.TOC,final_theory.DBMS,final_theory.OS,final_theory.Software Engineering,final_theory.Neural Networks and Deep Learning,final_theory.ESP,final_theory.SDP
4049,3rd,CSBS,Pass,16.0,26.0,28.0,13.0,26.0,12.0,27.0,7.0,2.0,24.0,14.0,1.0,7.0,15.0,0.0,1.0,22.0,24.0,10.0,14.0,6.0,16.0,38.0,27.0,19.0,44.0,12.0,66.0,49.0,87.0,18.0,74.0,29.0,89.0,52.0,36.0,49.0
4050,3rd,CSE(AIML),Pass,25.0,7.0,27.0,19.0,5.0,9.0,30.0,2.0,9.0,28.0,12.0,23.0,3.0,13.0,3.0,18.0,22.0,31.0,20.0,24.0,47.0,31.0,15.0,43.0,47.0,23.0,17.0,1.0,16.0,54.0,0.0,84.0,79.0,58.0,71.0,17.0,
4051,3rd,CSBS,Pass,13.0,14.0,29.0,7.0,30.0,11.0,24.0,12.0,6.0,16.0,26.0,17.0,22.0,27.0,20.0,16.0,13.0,19.0,10.0,28.0,28.0,39.0,10.0,31.0,50.0,2.0,28.0,46.0,33.0,30.0,12.0,42.0,60.0,84.0,27.0,84.0,70.0
4052,3rd,CSEIOT,Pass,24.0,1.0,28.0,12.0,13.0,7.0,30.0,5.0,26.0,17.0,30.0,24.0,21.0,10.0,52.0,30.0,22.0,3.0,3.0,13.0,26.0,26.0,11.0,7.0,32.0,18.0,2.0,35.0,92.0,8.0,8.0,64.0,86.0,91.0,85.0,60.0,83.0
4053,3rd,CSBS,Pass,4.0,22.0,14.0,9.0,12.0,15.0,8.0,13.0,5.0,15.0,6.0,28.0,2.0,15.0,9.0,0.0,27.0,4.0,25.0,0.0,31.0,18.0,3.0,31.0,33.0,4.0,34.0,79.0,81.0,68.0,69.0,12.0,68.0,60.0,45.0,,25.0
4054,3rd,CSBS,Pass,13.0,12.0,14.0,15.0,15.0,20.0,18.0,19.0,1.0,29.0,1.0,17.0,6.0,10.0,18.0,14.0,22.0,6.0,12.0,30.0,49.0,48.0,30.0,23.0,45.0,6.0,30.0,51.0,31.0,91.0,72.0,57.0,53.0,18.0,82.0,73.0,39.0
4055,3rd,CSE,Fail,6.0,0.0,8.0,24.0,23.0,11.0,24.0,4.0,21.0,4.0,18.0,1.0,22.0,,28.0,14.0,7.0,25.0,28.0,29.0,2.0,23.0,48.0,19.0,3.0,24.0,50.0,10.0,14.0,45.0,9.0,89.0,50.0,50.0,23.0,6.0,1.0
4056,3rd,CSEIOT,Pass,0.0,12.0,4.0,27.0,17.0,15.0,27.0,27.0,3.0,10.0,10.0,3.0,26.0,9.0,23.0,2.0,30.0,26.0,6.0,28.0,50.0,11.0,0.0,50.0,26.0,34.0,4.0,80.0,,53.0,36.0,67.0,95.0,28.0,57.0,90.0,94.0
4057,3rd,CSEAI,Pass,18.0,9.0,27.0,11.0,6.0,27.0,10.0,28.0,27.0,25.0,21.0,14.0,11.0,13.0,21.0,17.0,13.0,18.0,17.0,1.0,36.0,48.0,34.0,38.0,,47.0,47.0,72.0,92.0,79.0,51.0,59.0,10.0,91.0,14.0,82.0,11.0
4058,3rd,CSE(AIML),Fail,0.0,18.0,29.0,6.0,0.0,6.0,20.0,21.0,16.0,22.0,7.0,22.0,13.0,7.0,28.0,1.0,1.0,14.0,3.0,6.0,29.0,49.0,41.0,34.0,37.0,45.0,11.0,30.0,32.0,33.0,11.0,88.0,18.0,9.0,19.0,46.0,80.0
4059,3rd,CSEAI,Fail,1.0,2.0,5.0,1.0,8.0,16.0,17.0,16.0,,28.0,2.0,0.0,2.0,24.0,14.0,4.0,23.0,5.0,21.0,25.0,8.0,18.0,45.0,45.0,17.0,14.0,39.0,85.0,6.0,28.0,29.0,10.0,92.0,90.0,53.0,39.0,41.0
4060,3rd,CSBS,Fail,10.0,1.0,15.0,13.0,9.0,1.0,21.0,12.0,15.0,3.0,11.0,20.0,2.0,7.0,5.0,13.0,21.0,22.0,16.0,9.0,3.0,20.0,2.0,15.0,24.0,8.0,49.0,8.0,34.0,6.0,71.0,32.0,85.0,52.0,68.0,64.0,40.0
4061,3rd,CSEAI,Fail,2.0,4.0,7.0,25.0,2.0,3.0,7.0,12.0,10.0,7.0,24.0,18.0,26.0,15.0,17.0,16.0,7.0,21.0,26.0,,44.0,21.0,1.0,26.0,49.0,7.0,50.0,68.0,48.0,44.0,54.0,58.0,7.0,12.0,36.0,4.0,96.0
4062,3rd,CSE(AIML),Pass,28.0,8.0,7.0,22.0,24.0,14.0,0.0,3.0,10.0,28.0,8.0,17.0,23.0,12.0,11.0,20.0,30.0,20.0,4.0,0.0,22.0,15.0,9.0,13.0,4.0,39.0,46.0,28.0,45.0,24.0,93.0,45.0,57.0,61.0,6.0,98.0,100.0
4063,3rd,CSEIOT,Fail,8.0,2.0,12.0,0.0,28.0,18.0,23.0,13.0,0.0,20.0,23.0,14.0,12.0,24.0,30.0,29.0,0.0,5.0,13.0,10.0,33.0,30.0,38.0,7.0,18.0,3.0,20.0,50.0,99.0,74.0,23.0,75.0,7.0,21.0,10.0,33.0,6.0
4064,3rd,CSEAI,Pass,13.0,19.0,21.0,20.0,16.0,11.0,19.0,24.0,12.0,8.0,3.0,13.0,28.0,26.0,10.0,1.0,23.0,25.0,0.0,21.0,27.0,33.0,36.0,1.0,43.0,30.0,48.0,37.0,3.0,88.0,30.0,44.0,95.0,82.0,52.0,15.0,62.0
4065,3rd,CSBS,Pass,3.0,6.0,30.0,1.0,17.0,4.0,17.0,29.0,30.0,20.0,8.0,17.0,17.0,4.0,19.0,3.0,19.0,7.0,21.0,23.0,18.0,38.0,26.0,27.0,18.0,39.0,38.0,95.0,44.0,20.0,51.0,88.0,23.0,73.0,67.0,57.0,82.0
4066,3rd,CSEIOT,Pass,6.0,8.0,12.0,7.0,10.0,,18.0,28.0,30.0,16.0,18.0,19.0,0.0,2.0,,0.0,8.0,30.0,12.0,28.0,16.0,34.0,6.0,47.0,26.0,46.0,8.0,48.0,69.0,36.0,47.0,39.0,46.0,,41.0,87.0,83.0
4067,3rd,CSE,Pass,0.0,18.0,26.0,2.0,7.0,14.0,24.0,22.0,15.0,8.0,4.0,24.0,6.0,4.0,28.0,16.0,24.0,3.0,29.0,1.0,15.0,19.0,24.0,45.0,26.0,22.0,17.0,50.0,100.0,93.0,70.0,20.0,70.0,4.0,24.0,37.0,77.0
4068,3rd,CSBS,Pass,27.0,10.0,17.0,28.0,25.0,27.0,22.0,9.0,23.0,22.0,20.0,25.0,25.0,10.0,13.0,23.0,23.0,29.0,5.0,8.0,14.0,31.0,11.0,44.0,26.0,46.0,42.0,98.0,64.0,91.0,53.0,70.0,51.0,94.0,33.0,100.0,78.0
4069,3rd,CSE(AIML),Pass,29.0,22.0,24.0,22.0,25.0,22.0,2.0,26.0,3.0,27.0,8.0,13.0,13.0,21.0,18.0,14.0,25.0,25.0,26.0,15.0,18.0,16.0,47.0,45.0,13.0,41.0,12.0,27.0,19.0,75.0,,5.0,96.0,59.0,95.0,56.0,28.0
4070,3rd,CSEAI,Pass,14.0,11.0,10.0,21.0,12.0,5.0,4.0,22.0,19.0,9.0,25.0,8.0,1.0,8.0,23.0,18.0,24.0,21.0,19.0,7.0,29.0,1.0,13.0,26.0,3.0,33.0,44.0,51.0,,51.0,95.0,78.0,68.0,10.0,27.0,18.0,90.0
4071,3rd,CSEIOT,Pass,3.0,24.0,24.0,23.0,2.0,26.0,0.0,6.0,20.0,9.0,2.0,13.0,14.0,8.0,24.0,27.0,10.0,15.0,15.0,6.0,48.0,48.0,27.0,49.0,39.0,48.0,13.0,42.0,12.0,32.0,3.0,51.0,55.0,69.0,89.0,70.0,80.0
4072,3rd,CSBS,Pass,10.0,14.0,29.0,11.0,14.0,26.0,8.0,15.0,14.0,6.0,1.0,10.0,16.0,24.0,6.0,5.0,19.0,26.0,14.0,17.0,19.0,23.0,5.0,34.0,43.0,36.0,15.0,86.0,58.0,46.0,87.0,35.0,56.0,22.0,1.0,88.0,80.0
4073,3rd,CSEAI,Fail,10.0,29.0,18.0,20.0,17.0,4.0,16.0,15.0,6.0,5.0,17.0,0.0,20.0,18.0,7.0,14.0,18.0,18.0,9.0,4.0,19.0,42.0,40.0,39.0,40.0,6.0,23.0,16.0,100.0,65.0,35.0,45.0,3.0,21.0,3.0,64.0,14.0
4074,3rd,CSEIOTCSBT,Fail,12.0,7.0,1.0,3.0,1.0,2.0,27.0,30.0,19.0,3.0,5.0,10.0,21.0,15.0,17.0,21.0,29.0,7.0,18.0,25.0,11.0,38.0,18.0,17.0,23.0,41.0,66.0,33.0,11.0,35.0,64.0,52.0,,30.0,30.0,17.0,8.0
4075,3rd,CSBS,Pass,56.0,6.0,21.0,27.0,14.0,8.0,15.0,28.0,24.0,6.0,5.0,8.0,26.0,11.0,22.0,16.0,28.0,1.0,21.0,23.0,47.0,38.0,15.0,0.0,16.0,14.0,29.0,73.0,74.0,67.0,,3.0,53.0,87.0,75.0,18.0,0.0
4076,3rd,CSEIOTCSBT,Pass,15.0,17.0,11.0,21.0,21.0,30.0,3.0,10.0,28.0,13.0,9.0,10.0,3.0,21.0,13.0,15.0,15.0,22.0,1.0,1.0,31.0,5.0,3.0,23.0,14.0,14.0,28.0,57.0,29.0,42.0,92.0,14.0,82.0,98.0,91.0,14.0,17.0
4077,3rd,CSEAI,Pass,25.0,12.0,26.0,18.0,16.0,2.0,16.0,21.0,26.0,23.0,4.0,14.0,21.0,29.0,7.0,2.0,17.0,20.0,26.0,0.0,37.0,16.0,26.0,35.0,2.0,45.0,11.0,29.0,77.0,45.0,97.0,39.0,16.0,28.0,42.0,40.0,78.0
4078,3rd,CSEAI,Fail,27.0,8.0,13.0,14.0,8.0,25.0,17.0,21.0,9.0,8.0,1.0,23.0,26.0,26.0,12.0,7.0,19.0,3.0,12.0,20.0,22.0,5.0,17.0,33.0,1.0,23.0,13.0,2.0,84.0,97.0,1.0,1.0,45.0,28.0,45.0,10.0,81.0
4079,3rd,CSE,Pass,19.0,22.0,16.0,29.0,3.0,10.0,12.0,17.0,29.0,17.0,,14.0,7.0,3.0,11.0,29.0,22.0,22.0,6.0,,28.0,3.0,1.0,44.0,27.0,26.0,13.0,80.0,97.0,5.0,32.0,90.0,53.0,46.0,76.0,14.0,44.0
4080,3rd,CSBS,Pass,28.0,25.0,14.0,22.0,29.0,9.0,3.0,3.0,7.0,10.0,7.0,7.0,16.0,21.0,19.0,0.0,12.0,25.0,22.0,26.0,2.0,14.0,9.0,41.0,15.0,40.0,18.0,63.0,63.0,84.0,76.0,63.0,,9.0,70.0,78.0,32.0
4081,3rd,CSE,Fail,18.0,27.0,16.0,17.0,0.0,19.0,9.0,25.0,22.0,3.0,6.0,27.0,20.0,24.0,5.0,1.0,20.0,3.0,19.0,6.0,22.0,52.0,45.0,40.0,27.0,24.0,1.0,0.0,77.0,24.0,0.0,23.0,64.0,4.0,19.0,25.0,74.0
4082,3rd,CSE(AIML),Pass,3.0,7.0,5.0,18.0,11.0,1.0,7.0,22.0,24.0,30.0,16.0,4.0,1.0,20.0,5.0,2.0,15.0,12.0,17.0,8.0,47.0,46.0,48.0,19.0,30.0,34.0,6.0,99.0,50.0,24.0,99.0,84.0,37.0,22.0,40.0,,60.0
4083,3rd,CSEIOT,Pass,8.0,8.0,4.0,14.0,3.0,9.0,11.0,27.0,13.0,11.0,26.0,21.0,,3.0,30.0,30.0,6.0,10.0,20.0,9.0,48.0,35.0,27.0,29.0,36.0,25.0,25.0,17.0,82.0,86.0,55.0,87.0,84.0,11.0,88.0,74.0,80.0
4084,3rd,CSE,Pass,0.0,27.0,6.0,0.0,9.0,21.0,28.0,16.0,6.0,14.0,11.0,14.0,30.0,13.0,10.0,15.0,8.0,24.0,14.0,20.0,29.0,13.0,6.0,8.0,5.0,15.0,34.0,32.0,81.0,65.0,81.0,17.0,85.0,29.0,52.0,66.0,61.0
4085,3rd,CSBS,Fail,13.0,22.0,6.0,18.0,8.0,2.0,8.0,23.0,3.0,3.0,13.0,2.0,29.0,30.0,24.0,16.0,7.0,7.0,20.0,29.0,,15.0,1.0,23.0,32.0,29.0,10.0,73.0,28.0,9.0,87.0,50.0,93.0,16.0,2.0,62.0,13.0
4086,3rd,CSEAI,Pass,15.0,25.0,10.0,2.0,29.0,20.0,16.0,28.0,9.0,15.0,19.0,5.0,2.0,0.0,4.0,27.0,8.0,16.0,14.0,21.0,1.0,25.0,50.0,4.0,36.0,48.0,8.0,33.0,12.0,52.0,93.0,89.0,98.0,21.0,59.0,65.0,70.0
4087,3rd,CSEIOTCSBT,Pass,21.0,14.0,6.0,30.0,10.0,26.0,14.0,11.0,18.0,19.0,3.0,16.0,8.0,1.0,24.0,28.0,23.0,7.0,22.0,10.0,33.0,4.0,35.0,11.0,9.0,17.0,26.0,68.0,47.0,31.0,70.0,12.0,16.0,70.0,52.0,67.0,59.0
4088,3rd,CSEIOTCSBT,Pass,5.0,3.0,25.0,22.0,9.0,4.0,0.0,11.0,30.0,26.0,20.0,13.0,7.0,12.0,13.0,11.0,8.0,18.0,18.0,11.0,36.0,2.0,43.0,40.0,37.0,50.0,45.0,83.0,48.0,2.0,54.0,72.0,75.0,97.0,62.0,6.0,44.0
4089,3rd,CSE,Pass,26.0,30.0,5.0,13.0,2.0,7.0,15.0,5.0,13.0,13.0,8.0,14.0,4.0,29.0,7.0,17.0,30.0,28.0,1.0,19.0,3.0,12.0,50.0,46.0,20.0,31.0,8.0,72.0,98.0,72.0,,41.0,18.0,81.0,2.0,60.0,22.0
4090,3rd,CSEIOT,Pass,14.0,14.0,21.0,23.0,18.0,29.0,12.0,30.0,25.0,6.0,6.0,11.0,6.0,5.0,20.0,28.0,0.0,9.0,1.0,29.0,46.0,26.0,2.0,45.0,49.0,17.0,21.0,4.0,52.0,85.0,36.0,95.0,2.0,73.0,90.0,16.0,14.0
4091,3rd,CSEIOTCSBT,Pass,26.0,8.0,12.0,29.0,24.0,25.0,30.0,19.0,2.0,16.0,24.0,49.0,28.0,23.0,12.0,23.0,29.0,17.0,7.0,16.0,30.0,25.0,20.0,27.0,21.0,34.0,29.0,4.0,1.0,65.0,40.0,57.0,76.0,73.0,71.0,82.0,58.0
4092,3rd,CSEIOTCSBT,Pass,13.0,24.0,5.0,22.0,28.0,7.0,13.0,25.0,21.0,8.0,27.0,12.0,19.0,22.0,18.0,20.0,9.0,17.0,0.0,19.0,15.0,36.0,,13.0,20.0,11.0,20.0,67.0,10.0,85.0,16.0,37.0,73.0,83.0,59.0,38.0,83.0
4093,3rd,CSBS,Pass,13.0,24.0,12.0,8.0,6.0,29.0,21.0,9.0,29.0,12.0,29.0,16.0,19.0,30.0,0.0,20.0,0.0,4.0,27.0,9.0,28.0,30.0,7.0,7.0,15.0,45.0,42.0,61.0,0.0,73.0,10.0,91.0,4.0,34.0,10.0,79.0,100.0
4094,3rd,CSEIOTCSBT,Fail,18.0,10.0,21.0,16.0,4.0,12.0,9.0,6.0,15.0,26.0,15.0,22.0,24.0,5.0,16.0,30.0,29.0,6.0,7.0,30.0,16.0,18.0,11.0,1.0,29.0,48.0,50.0,63.0,48.0,42.0,67.0,26.0,7.0,7.0,41.0,27.0,37.0
4095,3rd,CSE,Fail,17.0,30.0,0.0,28.0,14.0,26.0,15.0,4.0,0.0,18.0,2.0,18.0,16.0,9.0,8.0,1.0,9.0,21.0,7.0,28.0,42.0,0.0,33.0,18.0,44.0,4.0,15.0,73.0,34.0,7.0,40.0,42.0,23.0,51.0,19.0,16.0,21.0
4096,3rd,CSE(AIML),Pass,30.0,17.0,16.0,23.0,26.0,0.0,26.0,16.0,0.0,30.0,21.0,20.0,0.0,22.0,23.0,6.0,1.0,27.0,25.0,22.0,2.0,23.0,21.0,5.0,23.0,26.0,9.0,16.0,100.0,2.0,80.0,100.0,12.0,93.0,5.0,28.0,65.0
4097,3rd,CSBS,Pass,22.0,1.0,,12.0,26.0,4.0,6.0,23.0,0.0,9.0,29.0,6.0,17.0,25.0,8.0,12.0,7.0,10.0,7.0,1.0,37.0,37.0,14.0,13.0,18.0,25.0,47.0,71.0,91.0,29.0,52.0,25.0,44.0,5.0,47.0,61.0,65.0
4098,3rd,CSEAI,Pass,1.0,15.0,13.0,15.0,1.0,27.0,10.0,6.0,20.0,3.0,30.0,19.0,4.0,18.0,6.0,5.0,2.0,28.0,25.0,14.0,44.0,23.0,26.0,49.0,42.0,25.0,36.0,92.0,8.0,61.0,75.0,69.0,43.0,41.0,9.0,56.0,99.0
4099,3rd,CSEIOTCSBT,Fail,12.0,9.0,13.0,7.0,2.0,8.0,14.0,12.0,17.0,0.0,27.0,23.0,0.0,2.0,22.0,19.0,4.0,21.0,26.0,14.0,11.0,22.0,20.0,23.0,14.0,28.0,6.0,2.0,0.0,32.0,69.0,32.0,19.0,91.0,74.0,76.0,82.0
4100,3rd,CSEIOTCSBT,Fail,28.0,26.0,1.0,5.0,11.0,13.0,16.0,10.0,24.0,12.0,1.0,9.0,12.0,15.0,9.0,21.0,8.0,16.0,17.0,0.0,12.0,7.0,5.0,35.0,9.0,12.0,6.0,34.0,22.0,7.0,26.0,32.0,39.0,4.0,8.0,34.0,0.0
4101,3rd,CSEIOT,Pass,7.0,15.0,18.0,18.0,3.0,6.0,28.0,16.0,17.0,28.0,3.0,19.0,26.0,19.0,28.0,8.0,30.0,28.0,14.0,30.0,15.0,42.0,8.0,19.0,39.0,37.0,45.0,91.0,9.0,46.0,10.0,80.0,3.0,2.0,75.0,52.0,19.0
4102,3rd,CSEIOT,Fail,8.0,4.0,3.0,6.0,24.0,19.0,29.0,2.0,2.0,5.0,4.0,14.0,16.0,6.0,9.0,1.0,19.0,18.0,21.0,22.0,28.0,1.0,19.0,29.0,49.0,5.0,30.0,35.0,88.0,61.0,7.0,12.0,74.0,31.0,15.0,10.0,29.0
4103,3rd,CSBS,Fail,21.0,8.0,12.0,13.0,13.0,4.0,22.0,12.0,14.0,10.0,1.0,28.0,28.0,15.0,20.0,3.0,18.0,29.0,7.0,14.0,13.0,26.0,11.0,16.0,48.0,47.0,12.0,42.0,17.0,87.0,61.0,2.0,58.0,2.0,37.0,35.0,8.0
4104,3rd,CSBS,Pass,3.0,28.0,7.0,15.0,26.0,7.0,14.0,12.0,8.0,30.0,28.0,13.0,26.0,29.0,16.0,15.0,25.0,8.0,3.0,1.0,2.0,4.0,22.0,30.0,32.0,15.0,30.0,46.0,69.0,36.0,51.0,35.0,15.0,26.0,39.0,80.0,53.0
4105,3rd,CSE(AIML),Pass,3.0,21.0,2.0,27.0,9.0,30.0,23.0,4.0,27.0,26.0,5.0,18.0,4.0,19.0,18.0,5.0,47.0,23.0,12.0,26.0,38.0,14.0,36.0,32.0,17.0,29.0,17.0,75.0,64.0,52.0,83.0,117.0,55.0,90.0,23.0,36.0,59.0
4106,3rd,CSEIOTCSBT,Pass,30.0,26.0,23.0,26.0,14.0,19.0,16.0,26.0,1.0,18.0,27.0,14.0,12.0,20.0,9.0,21.0,23.0,27.0,28.0,9.0,27.0,3.0,9.0,45.0,45.0,47.0,12.0,54.0,8.0,96.0,47.0,7.0,1.0,100.0,71.0,24.0,66.0
4107,3rd,CSE,Pass,16.0,15.0,16.0,8.0,15.0,19.0,21.0,1.0,16.0,13.0,4.0,27.0,22.0,19.0,12.0,9.0,27.0,5.0,,29.0,36.0,26.0,36.0,8.0,22.0,5.0,46.0,5.0,60.0,73.0,1.0,1.0,47.0,73.0,89.0,52.0,66.0
4108,3rd,CSEAI,Pass,29.0,0.0,18.0,23.0,24.0,4.0,12.0,29.0,25.0,29.0,2.0,12.0,26.0,20.0,27.0,26.0,16.0,29.0,29.0,10.0,9.0,10.0,47.0,21.0,18.0,7.0,47.0,86.0,79.0,30.0,79.0,84.0,50.0,76.0,81.0,59.0,94.0
4109,3rd,CSBS,Pass,14.0,19.0,14.0,27.0,27.0,29.0,23.0,4.0,1.0,2.0,4.0,28.0,1.0,29.0,2.0,30.0,2.0,17.0,16.0,8.0,23.0,19.0,32.0,49.0,45.0,22.0,42.0,33.0,90.0,47.0,61.0,19.0,52.0,78.0,35.0,31.0,96.0
4110,3rd,CSE(AIML),Pass,15.0,15.0,13.0,19.0,27.0,3.0,14.0,3.0,17.0,17.0,16.0,16.0,9.0,17.0,25.0,5.0,28.0,2.0,22.0,3.0,18.0,8.0,13.0,36.0,41.0,7.0,80.0,11.0,12.0,124.0,33.0,19.0,75.0,51.0,80.0,22.0,3.0
4111,3rd,CSEAI,Pass,15.0,17.0,12.0,9.0,7.0,13.0,22.0,19.0,3.0,24.0,30.0,16.0,28.0,3.0,21.0,1.0,12.0,9.0,34.0,24.0,38.0,44.0,32.0,18.0,7.0,2.0,27.0,10.0,82.0,6.0,26.0,80.0,4.0,58.0,71.0,93.0,24.0
4112,3rd,CSEAI,Pass,8.0,12.0,19.0,2.0,30.0,2.0,18.0,10.0,8.0,2.0,3.0,20.0,21.0,17.0,14.0,27.0,2.0,24.0,7.0,29.0,32.0,29.0,49.0,43.0,20.0,5.0,34.0,95.0,25.0,2.0,46.0,95.0,50.0,71.0,19.0,20.0,5.0
4113,3rd,CSEIOTCSBT,Pass,23.0,21.0,17.0,19.0,12.0,15.0,29.0,2.0,10.0,17.0,0.0,,16.0,19.0,3.0,14.0,26.0,20.0,20.0,14.0,47.0,44.0,45.0,43.0,12.0,39.0,6.0,46.0,,66.0,42.0,64.0,30.0,16.0,73.0,94.0,1.0
4114,3rd,CSBS,Pass,9.0,15.0,1.0,0.0,24.0,3.0,4.0,18.0,0.0,23.0,5.0,7.0,18.0,19.0,28.0,28.0,21.0,14.0,4.0,26.0,33.0,49.0,11.0,21.0,9.0,41.0,44.0,27.0,13.0,87.0,75.0,8.0,64.0,95.0,11.0,69.0,37.0
4115,3rd,CSE,Pass,6.0,20.0,11.0,1.0,8.0,26.0,0.0,3.0,10.0,16.0,28.0,21.0,30.0,9.0,5.0,0.0,4.0,14.0,7.0,27.0,47.0,46.0,40.0,22.0,35.0,12.0,19.0,8.0,45.0,67.0,38.0,68.0,0.0,91.0,83.0,56.0,5.0
4116,3rd,CSEIOTCSBT,Pass,6.0,3.0,0.0,29.0,13.0,20.0,16.0,28.0,25.0,25.0,6.0,26.0,1.0,10.0,24.0,30.0,26.0,15.0,26.0,8.0,19.0,33.0,39.0,33.0,35.0,9.0,44.0,97.0,24.0,46.0,5.0,21.0,47.0,61.0,13.0,127.0,90.0
4117,3rd,CSE(AIML),Pass,12.0,29.0,15.0,3.0,0.0,2.0,8.0,2.0,13.0,7.0,25.0,9.0,24.0,10.0,27.0,17.0,3.0,7.0,12.0,21.0,27.0,25.0,4.0,16.0,22.0,41.0,44.0,3.0,63.0,51.0,6.0,37.0,35.0,42.0,41.0,104.0,93.0
4118,3rd,CSEIOTCSBT,Fail,15.0,0.0,19.0,3.0,18.0,10.0,19.0,24.0,2.0,13.0,22.0,30.0,30.0,9.0,6.0,0.0,7.0,22.0,26.0,20.0,11.0,9.0,6.0,7.0,14.0,28.0,48.0,9.0,53.0,62.0,81.0,20.0,39.0,75.0,24.0,5.0,9.0
4119,3rd,CSEIOTCSBT,Pass,17.0,23.0,29.0,17.0,15.0,23.0,21.0,19.0,9.0,30.0,6.0,2.0,,23.0,43.0,9.0,5.0,3.0,7.0,22.0,5.0,39.0,33.0,25.0,6.0,30.0,37.0,,83.0,6.0,78.0,19.0,80.0,75.0,71.0,99.0,56.0
4120,3rd,CSEAI,Pass,13.0,10.0,13.0,1.0,12.0,17.0,16.0,7.0,13.0,24.0,12.0,22.0,16.0,17.0,14.0,16.0,18.0,4.0,13.0,12.0,45.0,5.0,50.0,48.0,41.0,36.0,45.0,88.0,76.0,23.0,37.0,14.0,96.0,71.0,78.0,76.0,63.0
4121,3rd,CSE(AIML),Pass,28.0,6.0,28.0,24.0,25.0,28.0,0.0,22.0,16.0,17.0,7.0,7.0,28.0,25.0,4.0,13.0,0.0,15.0,1.0,7.0,45.0,48.0,38.0,29.0,28.0,20.0,33.0,42.0,1.0,84.0,72.0,63.0,2.0,39.0,98.0,21.0,80.0
4122,3rd,CSEAI,Pass,20.0,5.0,5.0,21.0,13.0,0.0,6.0,22.0,7.0,5.0,22.0,28.0,6.0,29.0,1.0,30.0,29.0,3.0,4.0,24.0,28.0,8.0,14.0,5.0,32.0,26.0,33.0,25.0,65.0,83.0,60.0,82.0,33.0,65.0,45.0,57.0,81.0
4123,3rd,CSE,Pass,12.0,20.0,29.0,25.0,13.0,20.0,17.0,7.0,24.0,4.0,18.0,5.0,19.0,1.0,15.0,30.0,3.0,30.0,13.0,19.0,0.0,50.0,35.0,45.0,37.0,45.0,36.0,77.0,2.0,27.0,86.0,88.0,33.0,84.0,86.0,93.0,46.0
4124,3rd,CSE(AIML),Pass,13.0,23.0,7.0,3.0,18.0,19.0,30.0,24.0,24.0,0.0,2.0,27.0,20.0,20.0,13.0,24.0,9.0,10.0,14.0,21.0,10.0,20.0,10.0,37.0,17.0,21.0,67.0,,64.0,96.0,73.0,8.0,89.0,91.0,65.0,1.0,47.0
4125,3rd,CSEIOT,Pass,9.0,0.0,18.0,7.0,8.0,23.0,29.0,22.0,13.0,14.0,19.0,9.0,10.0,16.0,19.0,2.0,18.0,10.0,12.0,19.0,31.0,34.0,46.0,33.0,12.0,29.0,12.0,78.0,46.0,73.0,10.0,50.0,100.0,45.0,82.0,60.0,1.0
4126,3rd,CSBS,Fail,23.0,21.0,,24.0,28.0,18.0,1.0,19.0,21.0,7.0,28.0,16.0,26.0,0.0,13.0,26.0,16.0,10.0,0.0,0.0,36.0,32.0,26.0,5.0,47.0,47.0,45.0,15.0,33.0,55.0,40.0,27.0,5.0,2.0,82.0,70.0,27.0
4127,3rd,CSE,Pass,30.0,0.0,26.0,6.0,8.0,1.0,7.0,10.0,9.0,0.0,17.0,23.0,22.0,12.0,28.0,4.0,5.0,25.0,14.0,20.0,6.0,6.0,16.0,34.0,7.0,5.0,29.0,34.0,78.0,86.0,16.0,83.0,20.0,61.0,98.0,9.0,72.0
4128,3rd,CSEIOT,Pass,27.0,14.0,23.0,10.0,20.0,13.0,30.0,22.0,6.0,3.0,20.0,26.0,18.0,1.0,26.0,9.0,9.0,24.0,26.0,26.0,19.0,2.0,8.0,22.0,7.0,23.0,45.0,90.0,60.0,86.0,82.0,36.0,38.0,3.0,53.0,5.0,80.0
4129,3rd,CSEIOT,Pass,10.0,5.0,13.0,25.0,9.0,1.0,11.0,17.0,19.0,2.0,10.0,28.0,26.0,24.0,25.0,30.0,28.0,22.0,19.0,27.0,46.0,39.0,40.0,0.0,22.0,17.0,35.0,63.0,50.0,25.0,37.0,65.0,18.0,32.0,70.0,36.0,89.0
4130,3rd,CSEAI,Pass,16.0,12.0,6.0,24.0,27.0,14.0,23.0,5.0,22.0,13.0,13.0,1.0,12.0,17.0,3.0,8.0,30.0,18.0,15.0,15.0,13.0,27.0,17.0,45.0,40.0,13.0,26.0,66.0,77.0,83.0,59.0,40.0,80.0,5.0,15.0,75.0,45.0
